INSANITEAS,NUTRITIONAL FACTS,INGREDIENTS,PRICE
Emerald,"90 calories, 7g carbs, 15g protein, 180mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Protein",11.44
Bad & Boujee,"80 calories, 14g carbs, 12g sugar, 180mg caffeine, Vitamins & Minerals ","Tea, Liftoff, Hydration",11.44
Summer Refresher,"45 calories, 2g carbs, 2g protein, 180mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Collagen ",10.4
Triple Berry Blast,"115 calories, 5g carbs, 17g protein, 180mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Collagen, Protein",13.52
Feel Good,"25 calories, 7g carbs, 75mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Probiotics, Immunity Booster",12.48
Hydrating HiC,"80 calories, 14g carbs, 12g sugar, 180mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Hydration",11.44
Monster,"70 calories, 17g carbs, 9g sugar, 180mg caffeine, Vitamins & Minerals","Tea, Liftoff, Electrolytes",
Pretty In Pink,"15 calories, 4g carbs, 17g protein, 120mg caffeine, Vitamins & Minerals","Tea, Liftoff, Collagen, Protein",11.44
Great Scott,"40 calories, 8g carbs, 255mg caffeine, Vitamins & Minerals","Aloe Vera, Tea, 2x Liftoff",11.44
Pink Starburst,"90 calories, 5g carbs, 17g protein, 45mg caffeine, Vitamins & Minerals","Aloe, Tea, Collagen, Protein",10.4
Acai Refresher,"75 calories, 17g carbs, 9g sugar, 180mg caffeine, Vitamins & Minerals ","Aloe, Tea, Liftoff, Electrolytes",12.48
Orange Starburst,"105 calories, 9g carbs, 17g protein, 75mg caffeine, Vitamins & Minerals","Aloe, Liftoff, Collagen, Protein",11.44
Cran-Apple,"50 calories, 4g carbs, 180mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, BCAAs",11.44
Strawberry Mango DaiquiTea,"40 calories, 6g carbs, 2g protein, 180mg caffeine, Vitamins & Minerals ","Aloe, Tea, Liftoff, Collagen",11.44
Leaky TeaKi,"90 calories, 21g carbs, 12g sugar, 75mg caffeine, Vitamins & Minerals","Aloe, Liftoff, Hydration, Vitamin C booster",13.52
Firecracker,"40 calories, 6g carbs, 2g protein, 120mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Collagen",11.44
Reborn,"95 calories, 22g carbs, 12g sugar, 255mg caffeine, Vitamins & Minerals","Aloe, Tea, 2x Liftoff, Hydration",14.56
Goblet of Fire,"80 calories, 18g carbs, 12g sugar, 75mg caffeine, Vitamins & Minerals","Aloe, Liftoff, Hydration ",10.4
Golden Snitch,"85 calories, 7g carbs, 15g protein, 75mg caffeine, Vitamins & Minerals","Aloe, Liftoff, Protein",10.4
Gryffindor,"40 calories, 6g carbs, 2g protein, 180mg caffeine, Vitamins & Minerals","Tea, Liftoff, Collagen ",9.36
Hufflepuff,"90 calories, 7g carbs, 15g protein, 180mg caffeine, Vitamins & Minerals","Aloe, Tea, Liftoff, Protein",11.44
Ravenclaw,"50 calories, 2g carbs, 2g protein, 105mg caffeine, Vitamins & Minerals","Aloe, Tea, Collagen, BCAAs",10.4
Slytherin ,"75 calories, 18g carbs, 12g sugar, 75mg caffeine, Vitamins & Minerals","Aloe, Liftoff, Hydration",10.4
Amoretentia (Love Potion),"105 calories, 9g carbs, 17g protein, 75mg caffeine, Vitamins & Minerals","Aloe, Liftoff, Collagen, Protein",11.44
Polyjuice Potion,"80 calories, 9g carbs, 175mg caffeine, creatine, Vitamins & Minerals","Aloe, Liftoff, Preworkout",13.52
Sorcerer's Stone,"135 calories, 17g carbs, 12g sugar, 15g protein, 105mg caffeine, Vitamins & Minerals","Aloe, Tea, Hydration, Protein",11.44